# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504289709013816118e+09,0.000000000000000000e+00,1.735839843750000000e-01,0.000000000000000000e+00,6.554204601360353877e-01
1.666666666666666644e-02,1.504289709014117002e+09,0.000000000000000000e+00,6.554204601360353877e-01,-6.426539454316509969e-01,6.554204601360353877e-01
3.333333333333333287e-02,1.504289709014394045e+09,0.000000000000000000e+00,1.739501953125000000e-01,0.000000000000000000e+00,1.739501953125000000e-01
5.000000000000000278e-02,1.504289709030328989e+09,0.000000000000000000e+00,1.776123046875000000e-01,0.000000000000000000e+00,1.776123046875000000e-01
6.666666666666666574e-02,1.504289709046725988e+09,0.000000000000000000e+00,1.827392578125000000e-01,0.000000000000000000e+00,1.827392578125000000e-01
8.333333333333332871e-02,1.504289709064321041e+09,0.000000000000000000e+00,1.882324218750000000e-01,0.000000000000000000e+00,1.882324218750000000e-01
1.000000000000000056e-01,1.504289709079741001e+09,0.000000000000000000e+00,1.926269531250000000e-01,0.000000000000000000e+00,1.926269531250000000e-01
1.166666666666666685e-01,1.504289709096838951e+09,0.000000000000000000e+00,1.970214843750000000e-01,0.000000000000000000e+00,1.970214843750000000e-01
1.333333333333333315e-01,1.504289709112341881e+09,0.000000000000000000e+00,2.006835937500000000e-01,0.000000000000000000e+00,2.006835937500000000e-01
1.499999999999999944e-01,1.504289709128364086e+09,0.000000000000000000e+00,2.039794921875000000e-01,0.000000000000000000e+00,2.039794921875000000e-01
1.666666666666666574e-01,1.504289709143996954e+09,0.000000000000000000e+00,2.069091796875000000e-01,0.000000000000000000e+00,2.069091796875000000e-01
1.833333333333333204e-01,1.504289709160310030e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,2.109375000000000000e-01
2.000000000000000111e-01,1.504289709177738905e+09,0.000000000000000000e+00,2.149658203125000000e-01,0.000000000000000000e+00,2.149658203125000000e-01
2.166666666666666741e-01,1.504289709195866108e+09,0.000000000000000000e+00,2.186279296875000000e-01,0.000000000000000000e+00,2.186279296875000000e-01
2.333333333333333370e-01,1.504289709211771011e+09,0.000000000000000000e+00,2.222900390625000000e-01,0.000000000000000000e+00,2.222900390625000000e-01
2.500000000000000000e-01,1.504289709229840994e+09,0.000000000000000000e+00,2.274169921875000000e-01,0.000000000000000000e+00,2.274169921875000000e-01
2.666666666666666630e-01,1.504289709246123075e+09,0.000000000000000000e+00,2.307128906250000000e-01,0.000000000000000000e+00,2.307128906250000000e-01
2.833333333333333259e-01,1.504289709263443947e+09,0.000000000000000000e+00,2.340087890625000000e-01,0.000000000000000000e+00,2.340087890625000000e-01
